Fase atual,Data de cadastro,Nome do cliente,Empresa,Vendedor,Perfil de cliente,Setor,Checklist vertical,Origem,Valor Final,Motivo da perda,Motivo da não qualificação,Tempo total na fase Base de prospects (dias),Tempo total na fase Qualificação (dias),Tempo total na fase Diagnóstico (dias),Tempo total na fase Montagem de proposta (dias),Tempo total na fase Apresentação de proposta (dias),Tempo total na fase Negociação (dias),Primeira vez que entrou na fase Ganho,Tempo total na fase Renegociação (dias),Tempo total do negócio (dias)
Perdido,2023-01-10 16:39:31,Ana Beatriz Souza,TechCorp Soluções,Pedro Santos,Empresa consolidada,Energia e Sustentabilidade,Site institucional,Marketing,,,,"11,607384",,,"13,676065","11,066725","29,942431",,"191,724201","66,292605"
Perdido,2023-01-10 16:39:39,Carlos Henrique Mendes,MegaData Tecnologia,Bruna Almeida,Empresa consolidada,Saúde e Cuidados Médicos,Desenvolvimento Web,Marketing,,,,"2,108935",,,,,,,,"2,108935"
Perdido,2023-01-10 16:43:33,Fernanda Gonçalves,Futura Engenharia,Felipe Costa,Empresa consolidada,Agricultura e Agroindústria,,Marketing,,,,"21,039074",,,,,,,,"21,039074"
Perdido,2023-01-10 16:46:44,João Pedro Lima,Alfa Network Ltda.,Rafael Lima,Empresa consolidada,Ciências e Inovação,Desenvolvimento Web,Marketing,,,,"2,108194",,,,,,,,"2,108194"
Perdido,2023-01-10 16:47:56,Maria Clara Oliveira,NovaEra Sistemas,Bruna Almeida,Startup,Tecnologia da Informação (TI),,Marketing,,Sem Orçamento,,"2,183924",,,,,,,,"2,183924"
Perdido,2023-01-10 16:50:33,Rafael Augusto Martins,,Julia Souza,Empreendedor,Tecnologia da Informação (TI),,Marketing,,,,"2,105081",,,,,,,,"2,105081"
Perdido,2023-01-10 16:53:25,Bruna Ferreira Alves,GlobalTrade Comércio Exterior,Maria Ferreira,Empresa consolidada,Saúde e Cuidados Médicos,,Indicação MEJ,,,,"10,064572",,,,,,,"249,1111","10,064572"
Renegociação,2023-01-10 17:06:59,Rodrigo Pereira Costa,,Maria Ferreira,Empreendedor,Educação e Ensino,Desenvolvimento Web,Marketing,,,,"15,060544",,,,,,,"396,986979","15,060544"
Ganho,2023-01-18 16:51:26,Juliana Silva Santana,BioTech Ambiental,Rafael Lima,Startup,Agricultura e Agroindústria,"Concepção, Desenvolvimento Web",Parcerias,49000,,,"1,148287","0,00022","0,000787","10,936528","8,022257","23,821262",2023-03-03 15:11:08,,"43,929341"
Renegociação,2023-01-23 13:56:39,Leonardo Borges Andrade,,Felipe Costa,Empreendedor,Construção e Engenharia,Concepção,Ex cliente,,,,"43,181701",,,,,,,"355,997998","43,181701"
Renegociação,2023-01-23 14:04:51,Camila Santos Ribeiro,Proativa Consultoria Empresarial,Felipe Costa,Startup,Varejo e Comércio Eletrônico,Concepção,Comunidade CITi,,,,"24,116759",,,,,,,"375,057234","24,116759"
Ganho,2023-01-24 19:38:32,Lucas Eduardo Barbosa,MaxSeg Segurança,Lucas Martins,Empresa consolidada,Varejo e Comércio Eletrônico,"Concepção, Desenvolvimento Web",Indicação MEJ,90000,,,"1,060926","0,000231","0,000301","20,891875","8,054884","73,661354",2023-05-08 11:42:57,,"103,669571"
Ganho,2023-01-30 22:09:02,Larissa Almeida Moura,,Maria Ferreira,Empreendedor,Tecnologia da Informação (TI),"Concepção, Desenvolvimento Mobile",Comunidade CITi,160000,,,"0,000174",,,,,"3,686424",2023-02-03 14:37:46,,"3,686598"
Ganho,2023-02-10 12:29:58,Thiago Rodrigues Pinto,IntegraTI Soluções,Maria Ferreira,Empresas Juniores,Advocacia,Desenvolvimento Web,Ex cliente,7500,,,"6,244225",,"25,0989","0,008299","6,879398","6,948634",2023-03-27 16:48:41,,"45,179456"
Renegociação,2023-02-14 12:57:33,Vanessa Lima Duarte,EcoVerde Sustentabilidade,Rafael Lima,Startup,Ciências e Inovação,Marketplace,,,,,"21,049363",,"1,965972","28,129919","0,001273","0,000486",,"320,168854","51,147013"
Ganho,2023-03-07 17:27:09,Bruno César Cardoso,GreenPower Energia Solar,Felipe Costa,Startup,Meio Ambiente e Sustentabilidade,Desenvolvimento Web,Indicação MEJ,56600,,,"0,000255",,,"12,89316","4,25809","31,747037",2023-04-25 15:01:07,,"48,898542"
Renegociação,2023-03-23 20:17:33,Mariana Farias Gomes,,Rafael Lima,Empreendedor,Saúde e Cuidados Médicos,Desenvolvimento Web,Ex cliente,40000,,,"1,878426","28,02544","0,880833","4,131215","8,008275","53,718079",,"182,314248","96,642268"
Renegociação,2023-03-29 18:59:20,Pedro Henrique Siqueira,SkyTech Inovações,Pedro Santos,Empresa consolidada,Ciências e Inovação,Desenvolvimento Web,Parcerias,10000,,,"21,616146","0,266493","0,002813","13,918877","0,062859","0,000197",,"298,10191","35,867385"
